species;subsampled_italy;subsampled_sardigna;subsampled_sicily
AALB;0;0;0
AAND;0;0;0
ABOR;0;0;0
ACAM;0;1;0
ACAP;0;0;0
ACEP;0;0;0
ACOR;0;1;0
AGLU;0;1;0
AHEL;0;0;0
AHIP;0;0;0
AHYR;0;0;0
AINC;0;0;0
AMON;1;1;1
ANEB;0;0;0
AOBT;0;0;0
AOPA;0;0;0
AORI;0;0;0
APIN;0;0;0
APLA;0;0;0
APSE;0;0;0
ASEM;0;0;0
ATAT;0;0;0
AUNE;1;1;0
AVIR;1;0;0
BBAL;0;0;0
BPEN;1;0;0
BPUB;0;0;0
BSEM;0;0;0
CAEO;0;0;0
CAOR;1;0;0
CAUS;1;1;1
CAVE;1;1;1
CAZA;0;0;0
CBET;0;0;0
CCOG;1;0;0
CCOL;0;0;0
CGRA;0;0;0
CHEL;0;0;0
CHUM;1;1;0
CLAC;0;0;0
CLAE;1;0;1
CLIB;0;0;0
CMON;1;1;0
CNEV;0;0;0
CPEN;0;0;0
CPLA;0;0;0
CPYC;0;0;0
CROR;0;0;0
CSAT;0;0;0
CSEM;0;0;0
CSIA;1;1;0
CSIM;1;0;0
CTOU;0;0;0
EARB;1;1;0
FALN;0;0;0
FANG;1;1;0
FCAR;1;1;0
FEXC;1;0;0
FORI;0;0;0
FORN;0;1;0
FPAL;0;0;0
FPHI;0;0;0
FSYL;0;0;0
GETN;0;0;0
GTYR;0;0;0
IAQU;1;1;0
JCOM;1;1;0
JDRU;0;0;0
JEXC;1;0;0
JFOE;0;0;0
JMAC;1;1;1
JNAV;0;0;0
JOXY;1;1;0
JPHO;1;1;0
JREG;0;0;0
JTHU;1;0;0
LARB;0;0;0
LNOB;1;0;0
LORI;0;0;0
MCOM;1;1;0
MDAS;0;0;0
MFAY;0;0;0
MFLO;0;0;0
MSYL;1;1;0
MTRI;0;0;0
NOLE;1;1;0
OCAR;0;1;0
OEUR;1;1;0
PALB;1;1;0
PANG;1;1;0
PATL;0;0;0
PAVI;0;1;0
PBOU;0;0;0
PBRI;0;0;0
PBRU;0;0;0
PCER;0;0;0
PCOC;1;0;0
PCOR;0;0;0
PELA;0;0;0
PHAL;1;1;0
PHEL;0;0;0
PINI;0;0;0
PLAT;1;1;0
PLEN;1;1;0
PLUS;0;0;0
PMAH;1;0;0
PMUG;0;0;0
PONI;1;1;0
PORI;1;0;0
PPAD;0;0;0
PPIA;1;1;0
PPIR;0;0;0
PPYR;1;1;0
PSPI;0;0;0
PSYL;0;0;0
PSYR;0;0;0
PTER;1;1;0
PTHE;0;0;0
PTRE;1;1;0
PWEB;1;0;0
QALN;0;0;0
QAUC;0;0;0
QCAN;0;0;0
QCER;0;0;0
QCOC;1;1;1
QCON;1;1;1
QCRE;1;0;0
QDAL;1;1;0
QFAG;0;0;0
QFRA;0;0;0
QGUS;0;0;0
QICH;0;0;0
QILE;0;0;0
QINF;0;0;0
QITH;1;0;0
QPET;0;0;0
QPUB;0;0;0
QPYR;1;0;0
QROB;0;0;0
QSUB;1;0;0
QTRO;0;0;0
RALA;0;0;1
RCAT;1;0;1
RPER;0;0;0
RPON;0;0;0
SALB;1;1;0
SAMP;0;0;0
SAPE;0;0;0
SAPP;1;0;0
SARI;0;1;1
SARR;0;0;0
SATR;1;0;0
SAUC;1;1;0
SAUS;0;0;0
SCAP;0;0;0
SCIN;1;1;0
SDOM;1;1;0
SELE;1;0;0
SETR;0;0;0
SFRA;1;0;0
SGRA;1;0;0
SGUS;0;0;0
SJUN;1;1;0
SLAT;0;0;0
SMOU;1;0;0
SNIG;1;1;0
SOFF;1;0;0
SPED;1;1;0
SPEN;1;0;0
SPIN;0;0;0
SPUR;1;1;0
SRAC;0;0;0
SSAL;0;0;0
STOR;1;0;1
SUMB;0;0;0
SVIM;0;0;0
SXAN;0;0;0
TAFR;1;1;0
TARB;0;0;0
TART;0;0;0
TBAC;0;0;0
TBOV;0;0;0
TCAN;1;1;0
TCOR;1;0;0
TDAL;1;1;0
TGAL;1;1;0
THAM;0;0;0
TLAX;0;0;0
TMAS;0;0;0
TMIN;0;0;0
TPAR;0;0;0
TPAS;0;0;0
TPLA;1;0;0
TRAM;0;0;0
TSMY;0;0;0
TTEG;0;0;0
TTEN;0;0;0
TTOM;0;0;0
UCAN;1;1;0
UGLA;1;0;0
ULAE;1;0;0
UMIN;1;1;0
UPRO;0;0;0
VAGN;1;0;1
ZABE;0;0;0
ZSIC;0;0;0
